frame,timestamp_sec,player,shot,direction
214,7.13,Right-Back,SERVE,unknown
226,7.53,Left-Front,FOREHAND,cross-court
250,8.33,Right-Front,SMASH,lob
276,9.2,Right-Front,SMASH,lob
280,9.33,Right-Back,BACKHAND,unknown
306,10.2,Right-Back,FOREHAND,unknown
400,13.33,Left-Front,BACKHAND,unknown
498,16.6,Right-Front,BACKHAND,unknown
592,19.73,Right-Front,FOREHAND,cross-court
900,30.0,Right-Front,SERVE,unknown
928,30.93,Right-Front,SMASH,lob
942,31.4,Left-Front,FOREHAND,cross-court
994,33.13,Left-Front,SMASH,lob
1000,33.33,Left-Back,FOREHAND,unknown
1000,33.33,Right-Back,FOREHAND,unknown
1036,34.53,Left-Back,FOREHAND,unknown
1042,34.73,Left-Front,SMASH,lob
1060,35.33,Right-Back,FOREHAND,unknown
1072,35.73,Left-Front,SMASH,lob
1110,37.0,Left-Front,BACKHAND,down-the-line
2044,68.13,Right-Front,SERVE,cross-court
2296,76.53,Left-Back,FOREHAND,unknown
2316,77.2,Right-Front,FOREHAND,cross-court
2322,77.4,Left-Back,FOREHAND,cross-court
2380,79.33,Left-Back,FOREHAND,unknown
2382,79.4,Right-Front,FOREHAND,cross-court
2410,80.33,Left-Front,SMASH,lob
